user_id,n_skills,n_mastered_in_path,pct_wasted
79062,64,59,92.1875
79063,66,64,96.96969696969697
79064,66,62,93.93939393939394
79066,67,59,88.05970149253731
79067,65,59,90.76923076923077
79068,64,61,95.3125
79069,65,60,92.3076923076923
79070,67,59,88.05970149253731
79071,66,61,92.42424242424242
79073,66,62,93.93939393939394
79074,67,61,91.04477611940298
79075,65,61,93.84615384615384
79111,28,12,42.857142857142854
79148,7,4,57.14285714285714
79150,11,8,72.72727272727273
79156,11,8,72.72727272727273
79158,7,4,57.14285714285714
79161,9,6,66.66666666666666
79205,4,3,75.0
79213,8,8,100.0
79214,8,8,100.0
79217,65,64,98.46153846153847
79218,8,7,87.5
79219,8,8,100.0
79220,7,4,57.14285714285714
79224,8,7,87.5
79236,18,12,66.66666666666666
79237,5,4,80.0
79242,6,4,66.66666666666666
79246,8,5,62.5
79264,57,48,84.21052631578947
79272,5,5,100.0
79279,5,5,100.0
79281,3,2,66.66666666666666
79291,6,5,83.33333333333334
79300,7,5,71.42857142857143
79316,8,3,37.5
79319,70,66,94.28571428571428
79324,9,5,55.55555555555556
79327,4,2,50.0
79333,8,6,75.0
79352,10,6,60.0
79403,8,6,75.0
